,Category,Price Bracket,Summary Category,Table,Table Type,Sales 2019,Sales 2020,Profit 2019,Profit 2020,Restaurant,Month,Margin 2019,Margin 2020,Sales Year Change,Profit Year Change,Margin Year Change,Sales % Change,Profit % Change,Margin % Change,Sales Colour,Profit Colour,Margin Colour,Drink Colour Column,Drink Colour
17,Liqueurs,,,Spirits,Category,91720.21999999994,80343.65000000001,73598.64000000004,65096.51000000011,Group,January,80.24254630004168,81.02259481614304,-11376.569999999934,-8502.129999999932,0.7800485161013597,-12.403557252697324,-11.55202052646615,0.9721133638813186,Red,Red,lime,Spirits,Grey
18,Aperitif/Mart,,,Spirits,Category,23683.009999999987,29966.039999999964,18574.469999999994,23826.320000000007,Group,January,78.42951550499706,79.51107320153092,6283.029999999977,5251.850000000013,1.0815576965338636,26.529693649582462,28.274561804455335,1.3790187145360515,lime,lime,lime,Spirits,Grey
19,Digestif,,,Spirits,Category,24861.230000000003,19207.340000000004,18208.06,14597.11,Group,January,73.2387737855287,75.99756134894264,-5653.889999999999,-3610.9500000000007,2.7587875634139323,-22.741795156555,-19.831602048763024,3.766840186992648,Red,Red,lime,Spirits,Grey
20,Pre-Mixed,,,Spirits,Category,0.0,0.0,0.0,0.0,Group,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yellow,Yellow,Yellow,Spirits,Grey
21,Other,,,Spirits,Category,15247.979999999994,15931.739999999994,11187.610000000002,12194.999999999995,Group,January,73.37109571235014,76.54531143490917,683.7600000000002,1007.3899999999921,3.174215722559026,4.484266112626069,9.004514815943637,4.326248220421122,lime,lime,lime,Spirits,Grey
22,Bottled,,,Beer,Category,143515.90999999997,148200.37000000014,105859.45000000006,111447.82999999999,Group,January,73.76147355369874,75.20077716405153,4684.4600000001665,5588.379999999932,1.4393036103527947,3.2640701647644272,5.279056333657438,1.951294545796966,lime,lime,lime,Beer,Brown
23,Draft,,,Beer,Category,108563.93,118556.19,76847.41,84275.96,Group,January,70.78539805992654,71.08524658223244,9992.26000000001,7428.550000000003,0.29984852230590775,9.204033052230155,9.666623767801678,0.42360222662314845,lime,lime,lime,Beer,Brown
24,Cans,,,Beer,Category,628.33,1145.83,475.65999999999997,845.96,Group,January,75.70225836741838,73.82945114022151,517.4999999999999,370.30000000000007,-1.8728072271968728,82.3611796349052,77.84972459319684,-2.4739119645642083,lime,lime,Red,Beer,Brown
25,Lager,,,Beer,Category,5447.13,3511.67,3916.8600000000006,2596.72,Group,January,71.90685737259805,73.94544475990055,-1935.46,-1320.1400000000008,2.038587387302499,-35.53173873213968,-33.70403843895367,2.835038912546545,Red,Red,lime,Beer,Brown
26,Ale,,,Beer,Category,2975.08,6140.38,2035.14,4192.59,Group,January,68.40622773169125,68.27899901960464,3165.3,2157.45,-0.12722871208660536,106.39377764631541,106.00990595241603,-0.18598995487023884,lime,lime,Red,Beer,Brown
27,Stout,,,Beer,Category,58.05,105.83,42.16,70.27,Group,January,72.62704565030145,66.39894169895115,47.78,28.11,-6.228103951350306,82.3083548664944,66.67457305502846,-8.575460967169954,lime,lime,Red,Beer,Brown
28,Cider,,,Beer,Category,328.25,697.5,247.13,539.29,Group,January,75.2871287128713,77.31756272401434,369.25,292.15999999999997,2.0304340111430434,112.4904798172125,118.22117913648687,2.69692050401693,lime,lime,lime,Beer,Brown
29,Cider Bottled,,,Beer,Category,6622.9400000000005,7319.200000000001,4714.269999999999,5316.300000000001,Group,January,71.18092569161125,72.63498743032027,696.2600000000002,602.0300000000025,1.4540617387090151,10.512853808127511,12.770375901253061,2.042768795967454,lime,lime,lime,Beer,Brown
30,Non Alcoholic,,,Beer,Category,0.0,0.0,0.0,0.0,Group,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yellow,Yellow,Yellow,Beer,Brown
31,Water,,,Soft Drinks,Category,120267.49,124144.10000000003,104362.62000000001,108440.39999999997,Group,January,86.7754203567398,87.35042583578272,3876.6100000000297,4077.779999999955,0.5750054790429147,3.2233232771383435,3.9073185399139607,0.6626363510300809,lime,lime,lime,Soft drinks,Brown
32,Sodas,,,Soft Drinks,Category,103854.15000000001,113096.96000000008,74986.52000000002,83493.45000000006,Group,January,72.20368179798304,73.82466336849373,9242.81000000007,8506.930000000037,1.6209815705106934,8.89979841922549,11.344612338324321,2.2450123458329996,lime,lime,lime,Soft drinks,Brown
33,Juice,,,Soft Drinks,Category,16006.620000000003,17734.720000000005,13550.029999999999,14683.000000000005,Group,January,84.65266246090678,82.79239818841234,1728.1000000000022,1132.9700000000066,-1.8602642724944474,10.796158089590444,8.361383701733551,-2.197526006170841,lime,lime,Red,Soft drinks,Brown
34,Syrups,,,Soft Drinks,Category,9769.27,9700.3,7801.619999999998,7750.5000000000055,Group,January,79.8587816694594,79.89959073430725,-68.97000000000116,-51.119999999992615,0.040809064847849186,-0.7059892909091586,-0.655248525306188,0.05110153698156893,Red,Red,lime,Soft drinks,Brown
35,Purees,,,Soft Drinks,Category,7170.759999999999,8451.15,5684.550000000002,6755.8700000000035,Group,January,79.2740239528307,79.94024481875253,1280.3900000000003,1071.3200000000015,0.6662208659218294,17.855708460470026,18.846170761098087,0.8404024833131232,lime,lime,lime,Soft drinks,Brown
36,Postmix,,,Soft Drinks,Category,4919.049999999999,5799.9800000000005,3958.3999999999996,4536.5,Group,January,80.47082261818848,78.21578695098947,880.9300000000012,578.1000000000004,-2.25503566719901,17.908539250465054,14.604385610347626,-2.8023022430111384,lime,lime,Red,Soft drinks,Brown
37,Soft Drinks,,,Soft Drinks,Category,414.79,797.51,303.81,581.34,Group,January,73.24429229248534,72.89438376948252,382.71999999999997,277.53000000000003,-0.34990852300282427,92.26837676896741,91.34985681840625,-0.4777280413954165,lime,lime,Red,Soft drinks,Brown
38,Cordials,,,Soft Drinks,Category,2909.7399999999993,3356.8499999999995,2267.5900000000006,2725.919999999999,Group,January,77.93101789163298,81.2047008356048,447.1100000000001,458.32999999999856,3.2736829439718207,15.365977716222076,20.212207674226754,4.200744494989199,lime,lime,lime,Soft drinks,Brown
39,Fresh Juice,,,Soft Drinks,Category,12998.189999999999,11054.359999999995,7497.619999999999,8309.460000000001,Group,January,57.682031113562736,75.16907356011569,-1943.8300000000036,811.840000000002,17.487042446552955,-14.95462060486886,10.827969408959138,30.316273731978967,Red,lime,lime,Soft drinks,Brown
40,,<£6,,Wine,Price Bracket,475070.7700000003,475286.42000000045,367592.1999999996,372212.56000000023,Group,January,77.37630332423933,78.31331684166358,215.6500000001397,4620.360000000626,0.9370135174242478,0.04539323688555698,1.2569254733916093,1.2109825323365038,lime,lime,lime,Wine,Purple
41,,£6-£10,,Wine,Price Bracket,422928.45000000007,414877.87000000034,323661.62,321214.86000000034,Group,January,76.52869415618645,77.42395611508516,-8050.579999999725,-2446.75999999966,0.8952619588987147,-1.903532382368631,-0.7559623535220704,1.1698382793146658,Red,Red,lime,Wine,Purple
42,,£10-£15,,Wine,Price Bracket,255728.85999999958,253859.70000000016,188807.86000000016,184434.04999999993,Group,January,73.83126800784255,72.65196090596491,-1869.1599999994214,-4373.8100000002305,-1.1793071018776402,-0.7309147665224115,-2.316540211832403,-1.5973003494296902,Red,Red,Red,Wine,Purple
43,,£15-£20,,Wine,Price Bracket,87336.24,87964.73000000005,63099.71000000001,64982.739999999954,Group,January,72.24917170695693,73.87363094276526,628.4900000000489,1883.029999999948,1.624459235808331,0.7196210874203526,2.984213398128054,2.248412261938652,lime,lime,lime,Wine,Purple
44,,£20+,,Wine,Price Bracket,303659.9400000003,363348.7900000002,197422.2300000002,226893.21999999994,Group,January,65.0142491630605,62.445018738056014,59688.84999999992,29470.98999999973,-2.569230425004484,19.656478230220245,14.927898443857968,-3.951795887945527,lime,lime,Red,Wine,Purple
45,,<£6,,White Wine,Price Bracket,218053.34999999992,243295.69,174058.60000000003,196582.15999999997,Group,January,79.82385961967569,80.79968864224433,25242.340000000084,22523.55999999994,0.9758290225686466,11.576222057583657,12.940216685644913,1.2224778746831175,lime,lime,lime,White,Gold
46,,£6-£10,,White Wine,Price Bracket,164132.00999999992,151577.7,126543.37999999999,116892.11000000003,Group,January,77.09853793906505,77.1169571777379,-12554.30999999991,-9651.26999999996,0.018419238672848337,-7.648910166883301,-7.626847014833933,0.02389051616958808,Red,Red,lime,White,Gold
47,,£10-£15,,White Wine,Price Bracket,75518.88,60060.48999999998,56764.80000000002,45610.870000000024,Group,January,75.1663689927605,75.94155492237915,-15458.390000000021,-11153.929999999993,0.7751859296186581,-20.469569993622812,-19.649377783415055,1.0312935691935825,Red,Red,lime,White,Gold
48,,£15-£20,,White Wine,Price Bracket,23108.599999999995,35692.110000000015,16988.12,26707.910000000018,Group,January,73.51427607038073,74.8286105808819,12583.51000000002,9719.790000000019,1.314334510501169,54.453796422111346,57.21521863514044,1.7878629577238279,lime,lime,lime,White,Gold
49,,£20+,,White Wine,Price Bracket,25418.179999999997,32811.82000000001,18765.460000000003,22935.60999999999,Group,January,73.82692230521621,69.90045050838383,7393.64000000001,4170.149999999987,-3.926471796832388,29.087999219456357,22.22247682710675,-5.318482301889164,lime,lime,Red,White,Gold
50,,<£6,,Red Wine,Price Bracket,163819.08999999997,133973.24000000002,129323.95999999992,107760.29000000002,Group,January,78.94315613644292,80.43418969340445,-29845.849999999948,-21563.669999999896,1.4910335569615256,-18.21878634535203,-16.67414916771796,1.8887432805251274,Red,Red,lime,Red,Red
51,,£6-£10,,Red Wine,Price Bracket,159897.95000000004,176882.51,123713.04000000004,137636.13000000003,Group,January,77.36999755156336,77.81217600315601,16984.55999999997,13923.089999999997,0.44217845159265323,10.6221249240531,11.25434311532559,0.5715115233110388,lime,lime,lime,Red,Red
52,,£10-£15,,Red Wine,Price Bracket,106966.41000000002,101135.34,81136.26000000007,75815.3199999999,Group,January,75.85209225961688,74.96422121090403,-5831.0700000000215,-5320.940000000162,-0.8878710487128529,-5.451309434429015,-6.558029665158535,-1.1705294109409152,Red,Red,Red,Red,Red
53,,£15-£20,,Red Wine,Price Bracket,31468.90000000002,30036.119999999995,23425.74000000001,22371.809999999998,Group,January,74.44092421406529,74.48302244098106,-1432.7800000000243,-1053.9300000000112,0.04209822691576903,-4.553003123719048,-4.499025431000305,0.05655253123229595,Red,Red,lime,Red,Red
54,,£20+,,Red Wine,Price Bracket,68145.26000000001,77648.40000000001,49251.68000000001,53192.91000000003,Group,January,72.27454998337375,68.50483718917586,9503.14,3941.230000000025,-3.7697127941978863,13.945416012793842,8.002224492646798,-5.215823267063001,lime,lime,Red,Red,Red
55,,<£6,,Sparkling Wine,Price Bracket,66947.87000000001,64265.02,42993.090000000004,41097.51,Group,January,64.21875707173356,63.95004623043765,-2682.850000000013,-1895.5800000000017,-0.2687108412959134,-4.007371705776468,-4.409034102922124,-0.41843046105012327,Red,Red,Red,Sparkling,Yellow
56,,£6-£10,,Sparkling Wine,Price Bracket,76374.01000000001,74924.70000000001,55994.399999999994,57756.02,Group,January,73.3160403650404,77.08542042877714,-1449.3099999999977,1761.6200000000026,3.7693800637367474,-1.8976481659140294,3.146064606460651,5.141276104068105,Red,lime,lime,Sparkling,Yellow
57,,£10-£15,,Sparkling Wine,Price Bracket,63506.14999999999,64336.80999999998,43407.119999999995,41358.12999999999,Group,January,68.35104946528801,64.28377471621612,830.6599999999962,-2048.9900000000052,-4.067274749071899,1.3079993040044096,-4.720400708455216,-5.95056664219539,lime,Red,Red,Sparkling,Yellow
58,,£15-£20,,Sparkling Wine,Price Bracket,28094.089999999997,19130.46,19241.850000000002,13538.51,Group,January,68.49073951140615,70.76939080398486,-8963.629999999997,-5703.340000000002,2.278651292578715,-31.90574957224099,-29.640289265325325,3.3269480061596335,Red,Red,lime,Sparkling,Yellow
59,,£20+,,Sparkling Wine,Price Bracket,201516.0099999999,234944.39,123295.68999999994,139106.9599999999,Group,January,61.18406671509624,59.20846205350973,33428.38000000012,15811.26999999996,-1.975604661586516,16.58844872921022,12.823862699499038,-3.2289528428797056,lime,lime,Red,Sparkling,Yellow
60,,<£6,,Rose Wine,Price Bracket,26094.2,33598.26999999999,21096.290000000005,26651.28,Group,January,80.84666324317283,79.32336992351097,7504.069999999989,5554.989999999994,-1.5232933196618603,28.757616635114275,26.331596693067798,-1.8841758689286368,lime,lime,Red,Rose,Pink
61,,£6-£10,,Rose Wine,Price Bracket,16023.1,5553.919999999999,12341.050000000003,4276.349999999999,Group,January,77.0203643489712,76.99696790735192,-10469.18,-8064.7000000000035,-0.023396441619283337,-65.33804320012982,-65.3485724472391,-0.030376955259879726,Red,Red,Red,Rose,Pink
62,,£10-£15,,Rose Wine,Price Bracket,3459.5099999999993,23524.330000000005,2599.7799999999997,17950.14,Group,January,75.14879274810595,76.30457488055981,20064.820000000007,15350.36,1.155782132453865,579.9902298302363,590.4484225588319,1.5379916166158178,lime,lime,lime,Rose,Pink
63,,£15-£20,,Rose Wine,Price Bracket,212.85,0.0,150.18999999999997,0.0,Group,January,70.56142823584682,0.0,-212.85,-150.18999999999997,-70.56142823584682,-100.0,-100.0,-100.0,Red,Red,Red,Rose,Pink
64,,£20+,,Rose Wine,Price Bracket,419.59999999999997,1502.08,328.26,1141.6399999999999,Group,January,78.23164918970448,76.00394120153386,1082.48,813.3799999999999,-2.2277079881706214,257.97902764537656,247.78529214646926,-2.847578967392898,lime,lime,Red,Rose,Pink
65,,<£6,,Fortified Wine,Price Bracket,34.17,101.28999999999999,26.87,80.12,Group,January,78.63623061164763,79.09961496692665,67.11999999999999,53.25,0.4633843552790182,196.42961662276846,198.17640491254187,0.5892758995118741,lime,lime,lime,Fortified,Orange
66,,£6-£10,,Fortified Wine,Price Bracket,2469.5099999999998,1404.87,2003.8200000000008,1128.52,Group,January,81.14241286733,80.32914077459125,-1064.6399999999999,-875.3000000000009,-0.8132720927387425,-43.11138646938056,-43.68156820472899,-1.0022774329726476,Red,Red,Red,Fortified,Orange
67,,£10-£15,,Fortified Wine,Price Bracket,2639.9,2049.75,2061.4099999999994,1587.9000000000003,Group,January,78.08666994961928,77.46798390047567,-590.1500000000001,-473.5099999999991,-0.618686049143605,-22.355013447479074,-22.97020000873185,-0.7923068681796458,Red,Red,Red,Fortified,Orange
68,,£15-£20,,Fortified Wine,Price Bracket,804.4799999999999,1064.16,606.05,850.0500000000001,Group,January,75.33437748607797,79.8799052774019,259.6800000000002,244.0000000000001,4.545527791323934,32.279236276849666,40.26070456232986,6.033802817530367,lime,lime,lime,Fortified,Orange
69,,£20+,,Fortified Wine,Price Bracket,3432.63,2429.19,2472.9100000000003,1776.4900000000002,Group,January,72.04126282180137,73.13096134925634,-1003.44,-696.4200000000001,1.0896985274549706,-29.23239615105619,-28.161963031408337,1.5126033120080211,Red,Red,lime,Fortified,Orange
70,,<£6,,Sweet Wine,Price Bracket,122.09,52.91,93.39,41.2,Group,January,76.49275124907855,77.86807786807788,-69.18,-52.19,1.375326618999324,-56.663117372430186,-55.88392761537637,1.7979829415743382,Red,Red,lime,Sweet,Orange
71,,£6-£10,,Sweet Wine,Price Bracket,4031.8700000000003,4534.17,3065.93,3525.73,Group,January,76.04238231887436,77.75910475346095,502.2999999999997,459.8000000000002,1.7167224345865861,12.458238980919516,14.997080820501454,2.2575863383497405,lime,lime,lime,Sweet,Orange
72,,£10-£15,,Sweet Wine,Price Bracket,3638.0099999999998,2752.98,2838.4900000000007,2111.69,Group,January,78.023150018829,76.70560628845833,-885.0299999999997,-726.8000000000006,-1.317543730370673,-24.327310810030752,-25.605163308660607,-1.688657443403292,Red,Red,Red,Sweet,Orange
73,,£15-£20,,Sweet Wine,Price Bracket,3647.32,2041.88,2687.7599999999998,1514.46,Group,January,73.6913679084917,74.16988265715909,-1605.44,-1173.2999999999997,0.4785147486673935,-44.0169768487547,-43.65345120100008,0.6493497980137952,Red,Red,lime,Sweet,Orange
74,,£20+,,Sweet Wine,Price Bracket,1915.7599999999998,4612.91,1306.5900000000001,3337.36,Group,January,68.20217563786697,72.34825739067097,2697.15,2030.77,4.146081752803994,140.78746815885083,155.42519076374376,6.079104829175011,lime,lime,lime,Sweet,Orange
75,,£20+,,Fine Wine,Price Bracket,2812.5,9400.0,2001.64,5402.249999999999,Group,January,71.16942222222222,57.47074468085105,6587.5,3400.6099999999988,-13.698677541371175,234.22222222222223,169.89118922483556,-19.247981947356383,lime,lime,Red,Fine Wine,Purple
76,,<£6,,Spirits,Price Bracket,1486.51,786.09,1117.75,609.07,Group,January,75.19290149410364,77.48095001844572,-700.42,-508.67999999999995,2.288048524342088,-47.11841830865584,-45.50928203981211,3.0429049536298427,Red,Red,lime,Spirits,Grey
77,,£6-£10,,Spirits,Price Bracket,15147.429999999993,15174.39,11839.359999999999,12262.880000000001,Group,January,78.16084972830377,80.81300137929763,26.960000000006403,423.52000000000226,2.652151650993858,0.17798398804289844,3.5772203902913864,3.3931970548081885,lime,lime,lime,Spirits,Grey
78,,£10-£15,,Spirits,Price Bracket,239213.55999999985,237303.1300000001,198241.95999999993,197932.8100000002,Group,January,82.87237562954209,83.40927066575149,-1910.4299999997602,-309.14999999973224,0.5368950362094012,-0.7986294756868138,-0.15594579472465483,0.6478576632211451,Red,Red,lime,Spirits,Grey
79,,£15-£20,,Spirits,Price Bracket,163943.40000000005,164005.15000000002,131634.7400000001,132228.92999999993,Group,January,80.29279617233756,80.6248645240713,61.749999999970896,594.1899999998277,0.3320683517337386,0.0376654381938955,0.4513929985350579,0.41357178671545963,lime,lime,lime,Spirits,Grey
80,,£20+,,Spirits,Price Bracket,378565.71000000025,370647.1100000001,290830.9900000006,287307.36999999976,Group,January,76.82444086127093,77.51507087158987,-7918.600000000151,-3523.6200000008103,0.6906300103189409,-2.091737257450007,-1.2115696473752,0.8989717368279659,Red,Red,lime,Spirits,Grey
81,,<£6,,Beer,Price Bracket,136568.24000000005,140833.52,102487.17000000006,108030.07999999997,Group,January,75.04465899245683,76.7076474407513,4265.279999999941,5542.909999999916,1.6629884482944703,3.1231858886077313,5.408394045810723,2.2159984076436765,lime,lime,lime,Beer,Brown
82,,£20+,,Beer,Price Bracket,131571.38,144843.44999999998,91650.90999999999,101254.84000000003,Group,January,69.65869781102849,69.90639894313485,13272.069999999978,9603.930000000037,0.24770113210635714,10.087353343865495,10.478815758621533,0.35559253889345693,lime,lime,lime,Beer,Brown
83,,<£6,,Soft Drinks,Price Bracket,262574.92999999993,275986.47000000026,207850.2200000001,222772.00999999992,Group,January,79.15844060207885,80.71845333577393,13411.540000000328,14921.789999999834,1.5600127336950749,5.107700114401757,7.1791071474448405,1.9707471772177707,lime,lime,lime,Soft drinks,Brown
84,,£6-£10,,Soft Drinks,Price Bracket,9964.99,11532.630000000005,7971.07,9344.450000000006,Group,January,79.99074760737341,81.02618396671014,1567.6400000000049,1373.3800000000065,1.0354363593367282,15.731475897115851,17.229556383271085,1.2944451581063652,lime,lime,lime,Soft drinks,Brown
85,,£10-£15,,Soft Drinks,Price Bracket,387.21000000000004,143.39999999999998,267.97999999999996,110.78999999999999,Group,January,69.20792334908704,77.25941422594143,-243.81000000000006,-157.18999999999997,8.051490876854388,-62.965832493995514,-58.65736248973804,11.633770365052571,Red,Red,lime,Soft drinks,Brown
86,,£20+,,Soft Drinks,Price Bracket,5382.929999999999,6473.43,4323.49,5049.1900000000005,Group,January,80.3185254127399,77.99868076120387,1090.500000000001,725.7000000000007,-2.3198446515360303,20.25848376256056,16.785050965770726,-2.8883058293399184,lime,lime,Red,Soft drinks,Brown
0,,,Beverage,Summary,Summary,281267.4400000003,299462.54,219648.25999999992,235757.07999999975,100 Wardour Street,January,78.09231669332209,78.72673490313672,18195.099999999686,16108.819999999832,0.6344182098146263,6.468967755386002,7.333916508147999,0.8123951710973857,lime,lime,lime,Beverage,Black
1,,,Wine,Summary,Summary,95167.51000000002,107665.43000000001,72301.98,80516.34999999998,100 Wardour Street,January,75.97338629538586,74.7838465884546,12497.919999999984,8214.36999999998,-1.1895397069312708,13.132549123119835,11.361196470691372,-1.565732113488162,lime,lime,Red,Wine,Purple
2,,,Spirits,Summary,Summary,140098.94000000003,145167.65000000005,113322.70000000007,119478.63999999998,100 Wardour Street,January,80.88762127679199,82.30390173017193,5068.710000000021,6155.939999999915,1.4162804533799402,3.6179502857052452,5.432221434893372,1.750923603666776,lime,lime,lime,Spirits,Grey
3,,,Beer,Summary,Summary,17771.0,18628.769999999997,12961.949999999999,14760.310000000001,100 Wardour Street,January,72.93877665860109,79.23394834978372,857.7699999999968,1798.3600000000024,6.295171691182631,4.826796466152702,13.874147022631645,8.630761276197374,lime,lime,lime,Beer,Brown
4,,,Soft Drinks,Summary,Summary,28186.15,27699.18,21250.310000000005,20778.72,100 Wardour Street,January,75.39273721313484,75.01565028278816,-486.97000000000116,-471.5900000000038,-0.3770869303466782,-1.7276925014590538,-2.2192146843975626,-0.5001634696995488,Red,Red,Red,Soft drinks,Brown
5,White Wine,,,Wine,Category,31872.19,30198.6,25775.489999999998,24728.61,100 Wardour Street,January,80.87141172288443,81.88661063757922,-1673.5900000000001,-1046.8799999999974,1.0151989146947926,-5.250941337887356,-4.061532874835735,1.255324833667419,Red,Red,lime,White,Gold
6,Red Wine,,,Wine,Category,22618.940000000002,23998.440000000002,18407.88,19387.659999999996,100 Wardour Street,January,81.38259352560287,80.78716783257576,1379.5,979.7799999999952,-0.59542569302711,6.098871123049975,5.322611837973711,-0.7316376478463908,lime,lime,Red,Red,Red
7,Sparkling Wine,,,Wine,Category,35625.490000000005,48078.56,24035.71,32040.82,100 Wardour Street,January,67.4677316719012,66.64263655151069,12453.069999999992,8005.110000000001,-0.8250951203905146,34.9555051734025,33.305069831513194,-1.2229477706512968,lime,lime,Red,Sparkling,Yellow
8,Rose Wine,,,Wine,Category,4080.83,5164.52,3316.21,4190.87,100 Wardour Street,January,81.26312539360866,81.14732830931044,1083.6900000000005,874.6599999999999,-0.11579708429822233,26.55562716408183,26.375289864031526,-0.14249646901635138,lime,lime,Red,Rose,Pink
9,Sweet Wine,,,Wine,Category,48.33,47.5,26.41,32.72,100 Wardour Street,January,54.645147941237326,68.8842105263158,-0.8299999999999983,6.309999999999999,14.239062585078472,-1.717359817918474,23.892464975388105,26.05732278443175,Red,lime,lime,Sweet,Orange
10,Fortified Wine,,,Wine,Category,921.73,177.81,740.28,135.67,100 Wardour Street,January,80.31419179152246,76.30054552612339,-743.9200000000001,-604.61,-4.013646265399075,-80.70910136373993,-81.67315069973525,-4.997430934519762,Red,Red,Red,Fortified,Orange
11,Vodka,,,Spirits,Category,40519.729999999996,49531.369999999995,32164.539999999997,40267.44,100 Wardour Street,January,79.37994651000882,81.29684278872158,9011.64,8102.900000000005,1.9168962787127555,22.240128451003994,25.192028239794524,2.4148369493686404,lime,lime,lime,Spirits,Grey
