,SiteName,2019,2020,Shift,Area,Measure,Year Change,% Change,Colour,Table,GenericLocation,RevenueType,LocationName,Day,OrdDay,OrdSession,Session,DaySession,Colour_TY,Colour_LY,Colour_CHG,Count,Average_TY,Average_LY,Average_Year Change,Average_% Change,Average_Colour
50,Blueprint Café,1953.9999999999998,1231.18,Lunch,Full Site,Revenue,-722.8199999999997,-36.99181166837256,Red,Totals,,,,,,,,,,,,,,,,,
51,Bluebird Chelsea,18911.060000000012,17875.909999999996,Lunch,Full Site,Revenue,-1035.150000000016,-5.473780951464462,Red,Totals,,,,,,,,,,,,,,,,,
52,Avenue,6927.59,7310.2300000000005,Lunch,Full Site,Revenue,382.6400000000003,5.523421565075306,lime,Totals,,,,,,,,,,,,,,,,,
53,Aster,9732.35,9819.069999999998,Lunch,Full Site,Revenue,86.71999999999753,0.8910489244632338,lime,Totals,,,,,,,,,,,,,,,,,
54,20 Stories,20245.140000000003,19312.190000000006,Lunch,Full Site,Revenue,-932.9499999999971,-4.608266477781813,Red,Totals,,,,,,,,,,,,,,,,,
55,100 Wardour Street,356.9299999999999,4685.77,Lunch,Full Site,Revenue,4328.84,1212.7980276244646,lime,Totals,,,,,,,,,,,,,,,,,
56,White City,12953.02,5373.94,Dinner,Full Site,Revenue,-7579.080000000001,-58.51206900012507,Red,Totals,,,,,,,,,,,,,,,,,
57,Trinity,22160.079999999994,18092.18,Dinner,Full Site,Revenue,-4067.899999999994,-18.356883188147314,Red,Totals,,,,,,,,,,,,,,,,,
58,South Place Hotel,51366.98,44973.64000000001,Dinner,Full Site,Revenue,-6393.3399999999965,-12.446400391847051,Red,Totals,,,,,,,,,,,,,,,,,
59,Skylon,38724.77999999999,36186.78999999999,Dinner,Full Site,Revenue,-2537.989999999998,-6.553917155888294,Red,Totals,,,,,,,,,,,,,,,,,
60,Sartoria,29127.590000000007,15850.09,Dinner,Full Site,Revenue,-13277.500000000007,-45.583929188786314,Red,Totals,,,,,,,,,,,,,,,,,
61,Radici,6116.770000000001,6649.999999999997,Dinner,Full Site,Revenue,533.2299999999959,8.717509404473207,lime,Totals,,,,,,,,,,,,,,,,,
62,Quaglinos,52513.96,79631.22000000003,Dinner,Full Site,Revenue,27117.26000000003,51.638192968117494,lime,Totals,,,,,,,,,,,,,,,,,
63,Plateau,25518.430000000008,20128.60000000001,Dinner,Full Site,Revenue,-5389.829999999998,-21.121322902702072,Red,Totals,,,,,,,,,,,,,,,,,
64,Paternoster Chophouse,24244.490000000005,22292.969999999998,Dinner,Full Site,Revenue,-1951.5200000000077,-8.049334096118365,Red,Totals,,,,,,,,,,,,,,,,,
65,Orrery,14971.919999999998,19819.350000000002,Dinner,Full Site,Revenue,4847.430000000004,32.37680938717282,lime,Totals,,,,,,,,,,,,,,,,,
66,New Street Warehouse,33887.410000000025,30901.08000000002,Dinner,Full Site,Revenue,-2986.3300000000054,-8.81250588345348,Red,Totals,,,,,,,,,,,,,,,,,
67,Madison,50608.75000000001,26247.1,Dinner,Full Site,Revenue,-24361.65000000001,-48.13722923407514,Red,Totals,,,,,,,,,,,,,,,,,
68,Le Pont de la Tour,24649.920000000013,17702.249999999996,Dinner,Full Site,Revenue,-6947.670000000016,-28.185365307473663,Red,Totals,,,,,,,,,,,,,,,,,
69,Launceston Place,8625.21,7247.87,Dinner,Full Site,Revenue,-1377.3399999999992,-15.96877061544008,Red,Totals,,,,,,,,,,,,,,,,,
70,Issho,10480.24,12501.890000000005,Dinner,Full Site,Revenue,2021.650000000005,19.290111676831877,lime,Totals,,,,,,,,,,,,,,,,,
71,German Gymnasium,82859.05999999998,66665.26000000001,Dinner,Full Site,Revenue,-16193.799999999974,-19.543789176464198,Red,Totals,,,,,,,,,,,,,,,,,
72,Fiume,7710.910000000003,3827.26,Dinner,Full Site,Revenue,-3883.6500000000024,-50.36565074679903,Red,Totals,,,,,,,,,,,,,,,,,
73,East 59th,1601.9499999999998,2714.0399999999995,Dinner,Full Site,Revenue,1112.0899999999997,69.421018134149,lime,Totals,,,,,,,,,,,,,,,,,
74,Coq d'Argent,35001.88,26786.939999999995,Dinner,Full Site,Revenue,-8214.940000000002,-23.469996468761114,Red,Totals,,,,,,,,,,,,,,,,,
75,Cantina,9295.12,4783.620000000001,Dinner,Full Site,Revenue,-4511.5,-48.53622115690814,Red,Totals,,,,,,,,,,,,,,,,,
76,Butlers Wharf Chophouse,12482.390000000003,10732.62,Dinner,Full Site,Revenue,-1749.7700000000023,-14.017908429395346,Red,Totals,,,,,,,,,,,,,,,,,
77,Blueprint Café,1582.6400000000006,1448.26,Dinner,Full Site,Revenue,-134.38000000000056,-8.49087600465049,Red,Totals,,,,,,,,,,,,,,,,,
78,Bluebird Chelsea,36321.47,25036.39000000001,Dinner,Full Site,Revenue,-11285.07999999999,-31.069997992922616,Red,Totals,,,,,,,,,,,,,,,,,
79,Avenue,10286.549999999997,7586.589999999998,Dinner,Full Site,Revenue,-2699.959999999999,-26.247478503482704,Red,Totals,,,,,,,,,,,,,,,,,
80,Aster,23677.44,20462.469999999998,Dinner,Full Site,Revenue,-3214.970000000001,-13.57819933236026,Red,Totals,,,,,,,,,,,,,,,,,
81,20 Stories,31755.889999999996,34178.59999999999,Dinner,Full Site,Revenue,2422.7099999999955,7.629167376508722,lime,Totals,,,,,,,,,,,,,,,,,
82,100 Wardour Street,44598.110000000015,29959.960000000014,Dinner,Full Site,Revenue,-14638.150000000001,-32.82235502804939,Red,Totals,,,,,,,,,,,,,,,,,
83,White City,705.0,641.0,All Shifts,Full Site,Covers,-64.0,-9.078014184397164,Red,Totals,,,,,,,,,,,,,,,,,
84,Trinity,1009.0,710.0,All Shifts,Full Site,Covers,-299.0,-29.633300297324084,Red,Totals,,,,,,,,,,,,,,,,,
85,Skylon,1352.0,1152.0,All Shifts,Full Site,Covers,-200.0,-14.792899408284024,Red,Totals,,,,,,,,,,,,,,,,,
86,Sartoria,818.0,519.0,All Shifts,Full Site,Covers,-299.0,-36.552567237163814,Red,Totals,,,,,,,,,,,,,,,,,
87,Radici,344.0,355.0,All Shifts,Full Site,Covers,11.0,3.1976744186046515,lime,Totals,,,,,,,,,,,,,,,,,
88,Quaglinos,1033.0,1041.0,All Shifts,Full Site,Covers,8.0,0.7744433688286544,lime,Totals,,,,,,,,,,,,,,,,,
89,Plateau,662.0,376.0,All Shifts,Full Site,Covers,-286.0,-43.202416918429,Red,Totals,,,,,,,,,,,,,,,,,
90,Paternoster Chophouse,833.0,596.0,All Shifts,Full Site,Covers,-237.0,-28.45138055222089,Red,Totals,,,,,,,,,,,,,,,,,
91,Orrery,359.0,370.0,All Shifts,Full Site,Covers,11.0,3.064066852367688,lime,Totals,,,,,,,,,,,,,,,,,
92,New Street Warehouse,1157.0,1031.0,All Shifts,Full Site,Covers,-126.0,-10.890233362143475,Red,Totals,,,,,,,,,,,,,,,,,
93,Madison,1202.0,856.0,All Shifts,Full Site,Covers,-346.0,-28.785357737104828,Red,Totals,,,,,,,,,,,,,,,,,
94,Le Pont de la Tour,520.0,343.0,All Shifts,Full Site,Covers,-177.0,-34.03846153846154,Red,Totals,,,,,,,,,,,,,,,,,
95,Launceston Place,189.0,129.0,All Shifts,Full Site,Covers,-60.0,-31.746031746031743,Red,Totals,,,,,,,,,,,,,,,,,
96,Issho,469.0,496.0,All Shifts,Full Site,Covers,27.0,5.756929637526652,lime,Totals,,,,,,,,,,,,,,,,,
97,German Gymnasium,5206.0,4925.0,All Shifts,Full Site,Covers,-281.0,-5.39761813292355,Red,Totals,,,,,,,,,,,,,,,,,
98,Fiume,377.0,334.0,All Shifts,Full Site,Covers,-43.0,-11.405835543766578,Red,Totals,,,,,,,,,,,,,,,,,
99,East 59th,296.0,180.0,All Shifts,Full Site,Covers,-116.0,-39.189189189189186,Red,Totals,,,,,,,,,,,,,,,,,
100,Coq d'Argent,1151.0,748.0,All Shifts,Full Site,Covers,-403.0,-35.01303214596003,Red,Totals,,,,,,,,,,,,,,,,,
101,Cantina,367.0,211.0,All Shifts,Full Site,Covers,-156.0,-42.50681198910082,Red,Totals,,,,,,,,,,,,,,,,,
102,Butlers Wharf Chophouse,385.0,330.0,All Shifts,Full Site,Covers,-55.0,-14.285714285714285,Red,Totals,,,,,,,,,,,,,,,,,
103,Blueprint Café,130.0,94.0,All Shifts,Full Site,Covers,-36.0,-27.692307692307693,Red,Totals,,,,,,,,,,,,,,,,,
104,Bluebird Chelsea,2053.0,1767.0,All Shifts,Full Site,Covers,-286.0,-13.930832927423284,Red,Totals,,,,,,,,,,,,,,,,,
105,Avenue,593.0,621.0,All Shifts,Full Site,Covers,28.0,4.721753794266442,lime,Totals,,,,,,,,,,,,,,,,,
106,Aster,1036.0,937.0,All Shifts,Full Site,Covers,-99.0,-9.555984555984557,Red,Totals,,,,,,,,,,,,,,,,,
107,20 Stories,1090.0,1229.0,All Shifts,Full Site,Covers,139.0,12.752293577981652,lime,Totals,,,,,,,,,,,,,,,,,
108,100 Wardour Street,611.0,589.0,All Shifts,Full Site,Covers,-22.0,-3.600654664484452,Red,Totals,,,,,,,,,,,,,,,,,
109,White City,297.0,306.0,Lunch,Full Site,Covers,9.0,3.0303030303030303,lime,Totals,,,,,,,,,,,,,,,,,
110,Trinity,397.0,299.0,Lunch,Full Site,Covers,-98.0,-24.68513853904282,Red,Totals,,,,,,,,,,,,,,,,,
111,Skylon,469.0,385.0,Lunch,Full Site,Covers,-84.0,-17.91044776119403,Red,Totals,,,,,,,,,,,,,,,,,
112,Sartoria,333.0,216.0,Lunch,Full Site,Covers,-117.0,-35.13513513513514,Red,Totals,,,,,,,,,,,,,,,,,
113,Radici,123.0,144.0,Lunch,Full Site,Covers,21.0,17.073170731707318,lime,Totals,,,,,,,,,,,,,,,,,
114,Quaglinos,224.0,343.0,Lunch,Full Site,Covers,119.0,53.125,lime,Totals,,,,,,,,,,,,,,,,,
115,Plateau,229.0,121.0,Lunch,Full Site,Covers,-108.0,-47.161572052401745,Red,Totals,,,,,,,,,,,,,,,,,
116,Paternoster Chophouse,417.0,258.0,Lunch,Full Site,Covers,-159.0,-38.1294964028777,Red,Totals,,,,,,,,,,,,,,,,,
117,Orrery,186.0,206.0,Lunch,Full Site,Covers,20.0,10.75268817204301,lime,Totals,,,,,,,,,,,,,,,,,
118,New Street Warehouse,369.0,304.0,Lunch,Full Site,Covers,-65.0,-17.615176151761517,Red,Totals,,,,,,,,,,,,,,,,,
119,Madison,442.0,334.0,Lunch,Full Site,Covers,-108.0,-24.43438914027149,Red,Totals,,,,,,,,,,,,,,,,,
120,Le Pont de la Tour,194.0,128.0,Lunch,Full Site,Covers,-66.0,-34.02061855670103,Red,Totals,,,,,,,,,,,,,,,,,
121,Launceston Place,95.0,54.0,Lunch,Full Site,Covers,-41.0,-43.15789473684211,Red,Totals,,,,,,,,,,,,,,,,,
122,Issho,151.0,164.0,Lunch,Full Site,Covers,13.0,8.609271523178808,lime,Totals,,,,,,,,,,,,,,,,,
123,German Gymnasium,1920.0,1781.0,Lunch,Full Site,Covers,-139.0,-7.239583333333334,Red,Totals,,,,,,,,,,,,,,,,,
124,Fiume,167.0,216.0,Lunch,Full Site,Covers,49.0,29.34131736526946,lime,Totals,,,,,,,,,,,,,,,,,
125,East 59th,170.0,92.0,Lunch,Full Site,Covers,-78.0,-45.88235294117647,Red,Totals,,,,,,,,,,,,,,,,,
126,Coq d'Argent,483.0,300.0,Lunch,Full Site,Covers,-183.0,-37.88819875776397,Red,Totals,,,,,,,,,,,,,,,,,
127,Cantina,90.0,65.0,Lunch,Full Site,Covers,-25.0,-27.77777777777778,Red,Totals,,,,,,,,,,,,,,,,,
128,Butlers Wharf Chophouse,131.0,126.0,Lunch,Full Site,Covers,-5.0,-3.816793893129771,Red,Totals,,,,,,,,,,,,,,,,,
129,Blueprint Café,77.0,50.0,Lunch,Full Site,Covers,-27.0,-35.064935064935064,Red,Totals,,,,,,,,,,,,,,,,,
130,Bluebird Chelsea,969.0,905.0,Lunch,Full Site,Covers,-64.0,-6.604747162022703,Red,Totals,,,,,,,,,,,,,,,,,
131,Avenue,284.0,308.0,Lunch,Full Site,Covers,24.0,8.450704225352112,lime,Totals,,,,,,,,,,,,,,,,,
132,Aster,353.0,312.0,Lunch,Full Site,Covers,-41.0,-11.614730878186968,Red,Totals,,,,,,,,,,,,,,,,,
133,20 Stories,444.0,515.0,Lunch,Full Site,Covers,71.0,15.99099099099099,lime,Totals,,,,,,,,,,,,,,,,,
134,100 Wardour Street,12.0,111.0,Lunch,Full Site,Covers,99.0,825.0,lime,Totals,,,,,,,,,,,,,,,,,
135,White City,278.0,225.0,Dinner,Full Site,Covers,-53.0,-19.06474820143885,Red,Totals,,,,,,,,,,,,,,,,,
136,Trinity,611.0,411.0,Dinner,Full Site,Covers,-200.0,-32.733224222585925,Red,Totals,,,,,,,,,,,,,,,,,
137,Skylon,883.0,767.0,Dinner,Full Site,Covers,-116.0,-13.137032842582105,Red,Totals,,,,,,,,,,,,,,,,,
138,Sartoria,331.0,206.0,Dinner,Full Site,Covers,-125.0,-37.764350453172206,Red,Totals,,,,,,,,,,,,,,,,,
139,Radici,221.0,211.0,Dinner,Full Site,Covers,-10.0,-4.524886877828054,Red,Totals,,,,,,,,,,,,,,,,,
140,Quaglinos,549.0,585.0,Dinner,Full Site,Covers,36.0,6.557377049180328,lime,Totals,,,,,,,,,,,,,,,,,
141,Plateau,433.0,255.0,Dinner,Full Site,Covers,-178.0,-41.10854503464203,Red,Totals,,,,,,,,,,,,,,,,,
142,Paternoster Chophouse,416.0,338.0,Dinner,Full Site,Covers,-78.0,-18.75,Red,Totals,,,,,,,,,,,,,,,,,
143,Orrery,173.0,164.0,Dinner,Full Site,Covers,-9.0,-5.202312138728324,Red,Totals,,,,,,,,,,,,,,,,,
144,New Street Warehouse,788.0,727.0,Dinner,Full Site,Covers,-61.0,-7.741116751269035,Red,Totals,,,,,,,,,,,,,,,,,
145,Madison,756.0,522.0,Dinner,Full Site,Covers,-234.0,-30.952380952380953,Red,Totals,,,,,,,,,,,,,,,,,
146,Le Pont de la Tour,326.0,215.0,Dinner,Full Site,Covers,-111.0,-34.04907975460122,Red,Totals,,,,,,,,,,,,,,,,,
147,Launceston Place,94.0,75.0,Dinner,Full Site,Covers,-19.0,-20.212765957446805,Red,Totals,,,,,,,,,,,,,,,,,
148,Issho,318.0,332.0,Dinner,Full Site,Covers,14.0,4.40251572327044,lime,Totals,,,,,,,,,,,,,,,,,
149,German Gymnasium,2909.0,2645.0,Dinner,Full Site,Covers,-264.0,-9.075283602612581,Red,Totals,,,,,,,,,,,,,,,,,
150,Fiume,206.0,118.0,Dinner,Full Site,Covers,-88.0,-42.71844660194174,Red,Totals,,,,,,,,,,,,,,,,,
151,East 59th,116.0,88.0,Dinner,Full Site,Covers,-28.0,-24.137931034482758,Red,Totals,,,,,,,,,,,,,,,,,
152,Coq d'Argent,595.0,389.0,Dinner,Full Site,Covers,-206.0,-34.621848739495796,Red,Totals,,,,,,,,,,,,,,,,,
153,Cantina,277.0,146.0,Dinner,Full Site,Covers,-131.0,-47.292418772563174,Red,Totals,,,,,,,,,,,,,,,,,
154,Butlers Wharf Chophouse,254.0,204.0,Dinner,Full Site,Covers,-50.0,-19.68503937007874,Red,Totals,,,,,,,,,,,,,,,,,
155,Blueprint Café,53.0,44.0,Dinner,Full Site,Covers,-9.0,-16.9811320754717,Red,Totals,,,,,,,,,,,,,,,,,
156,Bluebird Chelsea,912.0,696.0,Dinner,Full Site,Covers,-216.0,-23.684210526315788,Red,Totals,,,,,,,,,,,,,,,,,
157,Avenue,264.0,242.0,Dinner,Full Site,Covers,-22.0,-8.333333333333332,Red,Totals,,,,,,,,,,,,,,,,,
158,Aster,503.0,523.0,Dinner,Full Site,Covers,20.0,3.9761431411530817,lime,Totals,,,,,,,,,,,,,,,,,
159,20 Stories,646.0,714.0,Dinner,Full Site,Covers,68.0,10.526315789473683,lime,Totals,,,,,,,,,,,,,,,,,
160,100 Wardour Street,599.0,478.0,Dinner,Full Site,Covers,-121.0,-20.20033388981636,Red,Totals,,,,,,,,,,,,,,,,,
161,White City,28.35486524822695,20.02229329173167,All Shifts,Full Site,Spend,-8.33257195649528,-29.386745038459743,Red,Totals,,,,,,,,,,,,,,,,,
162,Trinity,34.48442021803766,34.0781690140845,All Shifts,Full Site,Spend,-0.40625120395316117,-1.1780717245194239,Red,Totals,,,,,,,,,,,,,,,,,
163,The Modern Pantry,,0.0,All Shifts,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,,,,,,,
164,South Place Hotel,0.0,0.0,All Shifts,Full Site,Spend,0.0,,Yellow,Totals,,,,,,,,,,,,,,,,,
165,Skylon,38.039482248520706,45.1597222222222,All Shifts,Full Site,Spend,7.120239973701494,18.718025464130466,lime,Totals,,,,,,,,,,,,,,,,,
166,Sartoria,54.309694376528114,53.648959537572246,All Shifts,Full Site,Spend,-0.660734838955868,-1.2166057027959052,Red,Totals,,,,,,,,,,,,,,,,,
167,Radici,25.788779069767436,28.02245070422535,All Shifts,Full Site,Spend,2.233671634457913,8.661409012094252,lime,Totals,,,,,,,,,,,,,,,,,
168,Quaglinos,64.73679574056148,95.21643611911625,All Shifts,Full Site,Spend,30.479640378554777,47.08240503701276,lime,Totals,,,,,,,,,,,,,,,,,
169,Plateau,53.09509063444111,67.38045212765957,All Shifts,Full Site,Spend,14.28536149321846,26.905239867792968,lime,Totals,,,,,,,,,,,,,,,,,
170,Paternoster Chophouse,46.768991596638635,59.81770134228188,All Shifts,Full Site,Spend,13.048709745643244,27.900344438003827,lime,Totals,,,,,,,,,,,,,,,,,
171,Orrery,72.76674094707522,85.63621621621625,All Shifts,Full Site,Spend,12.869475269141034,17.685930552395185,lime,Totals,,,,,,,,,,,,,,,,,
172,New Street Warehouse,42.26585998271391,40.72892337536374,All Shifts,Full Site,Spend,-1.536936607350171,-3.636354750568791,Red,Totals,,,,,,,,,,,,,,,,,
173,Madison,52.093161397670556,58.08426401869156,All Shifts,Full Site,Spend,5.991102621021007,11.500746854824039,lime,Totals,,,,,,,,,,,,,,,,,
174,Le Pont de la Tour,71.38409615384617,74.09495626822157,All Shifts,Full Site,Spend,2.710860114375393,3.797568730901879,lime,Totals,,,,,,,,,,,,,,,,,
175,Launceston Place,74.58724867724868,79.05674418604653,All Shifts,Full Site,Spend,4.4694955087978485,5.992305103165948,lime,Totals,,,,,,,,,,,,,,,,,
176,Issho,31.552281449893393,34.462459677419346,All Shifts,Full Site,Spend,2.910178227525954,9.223352777666689,lime,Totals,,,,,,,,,,,,,,,,,
177,German Gymnasium,23.51093930080675,21.26505989847715,All Shifts,Full Site,Spend,-2.2458794023295994,-9.552486923619146,Red,Totals,,,,,,,,,,,,,,,,,
178,Fiume,30.378726790450926,20.991347305389237,All Shifts,Full Site,Spend,-9.38737948506169,-30.901161690596147,Red,Totals,,,,,,,,,,,,,,,,,
179,East 59th,20.5558445945946,26.142333333333326,All Shifts,Full Site,Spend,5.586488738738726,27.177130635672146,lime,Totals,,,,,,,,,,,,,,,,,
180,Coq d'Argent,53.85617723718505,58.815013368984005,All Shifts,Full Site,Spend,4.958836131798954,9.207553127954132,lime,Totals,,,,,,,,,,,,,,,,,
181,Cantina,31.991607629427794,29.161563981042665,All Shifts,Full Site,Spend,-2.8300436483851286,-8.846206421279952,Red,Totals,,,,,,,,,,,,,,,,,
182,Butlers Wharf Chophouse,44.936987012987,47.16224242424244,All Shifts,Full Site,Spend,2.2252554112554463,4.951946178795515,lime,Totals,,,,,,,,,,,,,,,,,
